n	Libellé	harvest_year	sowing_date	cultivar	Code_postal	Longitude	Latitude	Altitude	Type_de_sol_panoramix	Code_sol_de_la_base	Nom_Arvalis	Regime_hydrique	N_Horizons	Epaisseur_H1	Hcc_H1	H_pFp_H1	Da_terre_fine_H1	RU_par_horizon_H1	Argile_H1	Limon_fin_H1	Limon_grossier_H1	Sable_fin_H1	Sable_grossier_H1	Argile_Sans_CaCO3_H1	Limon_fin_Sans_CaCO3_H1	Limon_grossier_Sans_CaCO3_H1	Sable_fin_Sans_CaCO3_H1	Sable_grossier_Sans_CaCO3_H1	CaCO3__total_H1	Matiere_Organique_H1	Cailloux_H1	Cailloux_Dimension_H1	pH_eau_H1	Epaisseur_H2	Hcc_H2	H_pFp_H2	Da_terre_fine_H2	RU_par_horizon_H2	Argile_H2	Limon_fin_H2	Limon_grossier_H2	Sable_fin_H2	Sable_grossier_H2	Argile_Sans_CaCO3_H2	Limon_fin_Sans_CaCO3_H2	Limon_grossier_Sans_CaCO3_H2	Sable_fin_Sans_CaCO3_H2	Sable_grossier_Sans_CaCO3_H2	CaCO3__total_H2	Matiere_Organique_H2	Cailloux_H2	Cailloux_Dimension_H2	pH_eau_H2	Epaisseur_H3	Hcc_H3	H_pFp_H3	Da_terre_fine_H3	RU_par_horizon_H3	Argile_H3	Limon_fin_H3	Limon_grossier_H3	Sable_fin_H3	Sable_grossier_H3	Argile_Sans_CaCO3_H3	Limon_fin_Sans_CaCO3_H3	Limon_grossier_Sans_CaCO3_H3	Sable_fin_Sans_CaCO3_H3	Sable_grossier_Sans_CaCO3_H3	CaCO3__total_H3	Matiere_Organique_H3	Cailloux_H3	Cailloux_Dimension_H3	pH_eau_H3	Epaisseur_H4	Hcc_H4	H_pFp_H4	Da_terre_fine_H4	RU_par_horizon_H4	Argile_H4	Limon_fin_H4	Limon_grossier_H4	Sable_fin_H4	Sable_grossier_H4	Argile_Sans_CaCO3_H4	Limon_fin_Sans_CaCO3_H4	Limon_grossier_Sans_CaCO3_H4	Sable_fin_Sans_CaCO3_H4	Sable_grossier_Sans_CaCO3_H4	CaCO3__total_H4	Matiere_Organique_H4	Cailloux_H4	Cailloux_Dimension_H4	pH_eau_H4	Etat_initial_réserve	Réserve_utile	Station_locale	Station_historique	Protocole	Essai	Espèce	Densité_Semis	Nombre_Fertilisation_azotée	Dose_totale_Fertilisation_azotée	Date_1_Fertilisation_azotée	Dose_1_Fertilisation_azotée	Produit_1_Fertilisation_azotée	Date_2_Fertilisation_azotée	Dose_2_Fertilisation_azotée	Produit_2_Fertilisation_azotée	Date_3_Fertilisation_azotée	Dose_3_Fertilisation_azotée	Produit_3_Fertilisation_azotée	Date_4_Fertilisation_azotée	Dose_4_Fertilisation_azotée	Produit_4_Fertilisation_azotée	Date_5_Fertilisation_azotée	Dose_5_Fertilisation_azotée	Produit_5_Fertilisation_azotée	Nombre_Irrigation	Dose_totale_Irrigation	Date_1_Irrigation	Dose_1_Irrigation	Date_2_Irrigation	Dose_2_Irrigation	Date_3_Irrigation	Dose_3_Irrigation	Date_4_Irrigation	Dose_4_Irrigation	Teneur_Azote_Grain_Qualité	Biomasse_paille	Teneur_Azote_Paille_Qualité	Grain_sur_Paille_Qualité						
Number	Site	HarvestYear	SowingDate	Variety	Postal_code	Longitude	Latitude	Altitude	Soil_type	Soil_code	Arvalis_name_for_soil	Water_regime	N_Horizons	Thickness_H1	Field_capacity_H1	Wilting_point_H1	Apparent_density_H1	Available_water_H1	Clay_H1	Fine_silt_H1	Coarse_silt_H1	Fine_sand_H1	Coarse_sand_layer_1	Clay_without_CaCO3_H1	Fine_silt_without_CaCO3_H1	Coarse_silt_without_CaCO3_H1	Fine_sand_without_CaCO3_H1	Coarse_sand_without_CaCO3_layer_1	CaCO3_total_H1	Organic_matter_H1	Stones_H1	Stone_size_H1	Water_pH_H1	Thickness_H2	Field_capacity_H2	Wilting_point_H2	Apparent_density_H2	Available_water_H2	Clay_H2	Fine_silt_H2	Coarse_silt_H2	Fine_sand_H2	Coarse_sand_H2	Clay_without_CaCO3_H2	Fine_silt_without_CaCO3_H2	Coarse_silt_without_CaCO3_H2	Fine_sand_without_CaCO3_H2	Coarse_sand_without_CaCO3_H2	CaCO3_total_H2	Organic_matter_H2	Stones_H2	Stone_size_H2	Water_pH_H2	Thickness_H3	Field_capacity_H3	Wilting_point_H3	Apparent_density_H3	Available_water_H3	Clay_H3	Fine_silt_H3	Coarse_silt_H3	Fine_sand_H3	Coarse_sand_H3	Clay_without_CaCO3_H3	Fine_silt_without_CaCO3_H3	Coarse_silt_without_CaCO3_H3	Fine_sand_without_CaCO3_H3	Coarse_sand_without_CaCO3_H3	CaCO3_total_H3	Organic_matter_H3	Stones_H3	Stone_size_H3	Water_pH_H3	Thickness_H4	Field_capacity_H4	Wilting_point_H4	Apparent_density_H4	Available_water_H4	Clay_H4	Fine_silt_H4	Coarse_silt_H4	Fine_sand_H4	Coarse_sand_H4	Clay_without_CaCO3_H4	Fine_silt_without_CaCO3_H4	Coarse_silt_without_CaCO3_H4	Fine_sand_without_CaCO3_H4	Coarse_sand_without_CaCO3_H4	CaCO3_total_H4	Organic_matter_H4	Stones_H4	Stone_size_H4	Water_pH_H4	Initial_available_soil_water	"Available_soil_water,_volumetric"	Local_station	Historic_station	Protocol	Experiment_code	Species	Sowing_density	Number_of_fertilizer_doses	Total_amount_of_fertilizer	Date_fertilization_1	Amount_fertilization_1	Product_fertilization_1	Date_fertilization_2	Amount_fertilization_2	Product_fertilization_2	Date_fertilization_3	Amount_fertilization_3	Product_fertilization_3	Date_fertilization_4	Amount_fertilization_4	Product_fertilization_4	Date_fertilization_5	Amount_fertilization_5	Product_fertilization_5	Number_of_irrigations	Total_irrigation	Date_irrigation_1	Amount_irrigation_1	Date_irrigation_2	Amount_irrigation_2	Date_irrigation_3	Amount_irrigation_3	Date_irrigation_4	Amount_irrigation_4	%N_in_grain_at_harvest	Biomass_straw_at_harvest	%_N_in_straw_at_harvest	Harvest_Index						
1	FORESTE	2012	10/11/2011	Apache	2590.112	3.203333	49.816667	73	Limon_argileux	PI0036001	Sol_limono-argileux_profond_sur_calcaire_dur	1:_rapid_drainage_:_coarse_structure_or_high_porosity	4	25	23.9972	10.5145	1.379	46.481595	22	27.5	40.5	4	4	0	0	0	0	0	0	2	0	-	6.5	25	21.45319	9.60885	1.61	47.6734875	20	28.5	43.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	20	21.53268	10.34124	1.61	36.036436	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	7	80	22.17523	10.68359	1.5	137.89956	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	1	205	201	201	17TPMOD	122210	Soft_winter_wheat	250	2	140	15/03/2012	100	Ammonitrate	14/05/2012	40	Ammonitrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
2	FORESTE	2012	10/11/2011	Bermude	2590.112	3.203333	49.816667	73	Limon_argileux	PI0036001	Sol_limono-argileux_profond_sur_calcaire_dur	1:_rapid_drainage_:_coarse_structure_or_high_porosity	4	25	23.9972	10.5145	1.379	46.481595	22	27.5	40.5	4	4	0	0	0	0	0	0	2	0	-	6.5	25	21.45319	9.60885	1.61	47.6734875	20	28.5	43.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	20	21.53268	10.34124	1.61	36.036436	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	7	80	22.17523	10.68359	1.5	137.89956	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	1	205	201	201	17TPMOD	122210	Soft_winter_wheat	250	2	140	15/03/2012	100	Ammonitrate	14/05/2012	40	Ammonitrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
3	FORESTE	2013	23/10/2012	Apache	2590.113	3.203333	49.816667	73	Limon_argileux	PI0036001	Sol_limono-argileux_profond_sur_calcaire_dur	1:_rapid_drainage_:_coarse_structure_or_high_porosity	4	25	23.9972	10.5145	1.379	46.481595	22	27.5	40.5	4	4	0	0	0	0	0	0	2	0	-	6.5	25	21.45319	9.60885	1.61	47.6734875	20	28.5	43.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	20	21.53268	10.34124	1.61	36.036436	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	7	80	22.17523	10.68359	1.5	137.89956	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	1	205	201	201	17TPMOD	124093	Soft_winter_wheat	250	3	220	06/03/2013	40	Ammonitrate	19/04/2013	140	Ammonitrate	27/05/2013	40	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
4	FORESTE	2013	23/10/2012	Bermude	2590.113	3.203333	49.816667	73	Limon_argileux	PI0036001	Sol_limono-argileux_profond_sur_calcaire_dur	1:_rapid_drainage_:_coarse_structure_or_high_porosity	4	25	23.9972	10.5145	1.379	46.481595	22	27.5	40.5	4	4	0	0	0	0	0	0	2	0	-	6.5	25	21.45319	9.60885	1.61	47.6734875	20	28.5	43.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	20	21.53268	10.34124	1.61	36.036436	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	7	80	22.17523	10.68359	1.5	137.89956	22	27.5	42.5	3.95	3.95	0	0	0	0	0	0	0.1	0	-	6.5	1	205	201	201	17TPMOD	124093	Soft_winter_wheat	250	3	220	06/03/2013	40	Ammonitrate	19/04/2013	140	Ammonitrate	27/05/2013	40	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
11	MERY_SUR_SEINE	2010	08/10/2009	Apache	10170.11	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17IVB	116375	Soft_winter_wheat	350	4	193.5	15/02/2010	36	Ammonitrate	18/03/2010	62	Ammonitrate	05/04/2010	62	Ammonitrate	29/04/2010	33.5	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.09	NA	NA	NA						
12	MERY_SUR_SEINE	2010	08/10/2009	Bermude	10170.11	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17IVB	116375	Soft_winter_wheat	350	4	193.5	15/02/2010	36	Ammonitrate	18/03/2010	62	Ammonitrate	05/04/2010	62	Ammonitrate	29/04/2010	33.5	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.02	NA	NA	NA						
13	MERY_SUR_SEINE	2011	07/10/2010	Apache	10170.111	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17TPMOD	119630	Soft_winter_wheat	300	4	210	23/02/2011	35	Ammonitrate	11/03/2011	50	Ammonitrate	29/03/2011	100	Ammonitrate	29/04/2011	25	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA						
14	MERY_SUR_SEINE	2011	07/10/2010	Bermude	10170.111	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17TPMOD	119630	Soft_winter_wheat	300	4	210	23/02/2011	35	Ammonitrate	11/03/2011	50	Ammonitrate	29/03/2011	100	Ammonitrate	29/04/2011	25	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9	NA						
17	MERY_SUR_SEINE	2014	07/10/2013	Apache	10170.114	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17TPMOD	126416	Soft_winter_wheat	320	4	196	19/02/2014	36	Ammonitrate	14/03/2014	60	Ammonitrate	28/03/2014	60	Ammonitrate	17/04/2014	40	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2	793.8	0.46	1.15						
