Number Site HarvestYear SowingDate Variety useCat Date HarvestDate Date_BBCH10 Date_BBCH30 Date_BBCH55 Biomass EarsPerSqM Wt1000_Grain ProteinContentGrain N_in_biomassHarvest Grain_Biomass
1 FORESTE 2012 10/11/2011 Apache eval 11/04/2012 NA NA NA NA NA NA NA NA NA NA
1 FORESTE 2012 10/11/2011 Apache eval 13/06/2012 NA NA NA NA NA NA NA NA NA NA
1 FORESTE 2012 10/11/2011 Apache eval NA NA NA NA NA NA NA NA NA NA NA
3 FORESTE 2013 23/10/2012 Apache eval 17/04/2013 NA NA NA NA NA NA NA NA NA NA
3 FORESTE 2013 23/10/2012 Apache eval 06/05/2013 NA NA NA NA NA NA NA NA NA NA
3 FORESTE 2013 23/10/2012 Apache eval 16/05/2013 NA NA NA NA NA NA NA NA NA NA
3 FORESTE 2013 23/10/2012 Apache eval 12/06/2013 NA NA NA NA NA NA NA NA NA NA
3 FORESTE 2013 23/10/2012 Apache eval NA NA NA NA NA NA NA NA NA NA NA
11 MERY_SUR_SEINE 2010 08/10/2009 Apache train 20/07/2010 NA NA NA NA NA NA NA NA NA NA
13 MERY_SUR_SEINE 2011 07/10/2010 Apache train 01/04/2011 NA NA NA NA NA NA NA NA NA NA
13 MERY_SUR_SEINE 2011 07/10/2010 Apache train 20/04/2011 NA NA NA NA NA NA NA NA NA NA
13 MERY_SUR_SEINE 2011 07/10/2010 Apache train 29/04/2011 NA NA NA NA NA NA NA NA NA NA
13 MERY_SUR_SEINE 2011 07/10/2010 Apache train 19/05/2011 NA NA NA NA NA NA NA NA NA NA
13 MERY_SUR_SEINE 2011 07/10/2010 Apache train 08/07/2011 NA NA NA NA NA NA NA NA NA NA
17 MERY_SUR_SEINE 2014 07/10/2013 Apache train 13/03/2014 NA NA NA NA NA NA NA NA NA NA
17 MERY_SUR_SEINE 2014 07/10/2013 Apache train 18/04/2014 NA NA NA NA NA NA NA NA NA NA
17 MERY_SUR_SEINE 2014 07/10/2013 Apache train 20/05/2014 NA NA NA NA NA NA NA NA NA NA
17 MERY_SUR_SEINE 2014 07/10/2013 Apache train 18/07/2014 NA NA NA NA NA NA NA NA NA NA
19 MERY_SUR_SEINE 2015 15/10/2014 Apache train 25/03/2015 NA NA NA NA NA NA NA NA NA NA
19 MERY_SUR_SEINE 2015 15/10/2014 Apache train 20/04/2015 NA NA NA NA NA NA NA NA NA NA
19 MERY_SUR_SEINE 2015 15/10/2014 Apache train 26/05/2015 NA NA NA NA NA NA NA NA NA NA
19 MERY_SUR_SEINE 2015 15/10/2014 Apache train 17/07/2015 NA NA NA NA NA NA NA NA NA NA
