Number	Site	HarvestYear	SowingDate	Variety	useCat	Date	HarvestDate	Date_BBCH10	Date_BBCH30	Date_BBCH55	Date_BBCH90	Biomass	EarsPerSqM	Grain_Number	ProteinContentGrain	N_in_biomassHarvest	Grain_Yield
2	FORESTE	2012	10/11/2011	Bermude	eval	11/04/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	FORESTE	2012	10/11/2011	Bermude	eval	13/06/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	FORESTE	2012	10/11/2011	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	FORESTE	2013	23/10/2012	Bermude	eval	17/04/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	FORESTE	2013	23/10/2012	Bermude	eval	06/05/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	FORESTE	2013	23/10/2012	Bermude	eval	21/05/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	FORESTE	2013	23/10/2012	Bermude	eval	13/06/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	FORESTE	2013	23/10/2012	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	MERY_SUR_SEINE	2010	08/10/2009	Bermude	train	20/07/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	MERY_SUR_SEINE	2011	07/10/2010	Bermude	train	03/04/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	MERY_SUR_SEINE	2011	07/10/2010	Bermude	train	20/04/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	MERY_SUR_SEINE	2011	07/10/2010	Bermude	train	29/04/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	MERY_SUR_SEINE	2011	07/10/2010	Bermude	train	19/05/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	MERY_SUR_SEINE	2011	07/10/2010	Bermude	train	08/07/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	MERY_SUR_SEINE	2014	07/10/2013	Bermude	train	12/03/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	MERY_SUR_SEINE	2014	07/10/2013	Bermude	train	02/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	MERY_SUR_SEINE	2014	07/10/2013	Bermude	train	26/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	MERY_SUR_SEINE	2014	07/10/2013	Bermude	train	18/07/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	MERY_SUR_SEINE	2015	15/10/2014	Bermude	train	25/03/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	MERY_SUR_SEINE	2015	15/10/2014	Bermude	train	20/04/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	MERY_SUR_SEINE	2015	15/10/2014	Bermude	train	26/05/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	MERY_SUR_SEINE	2015	15/10/2014	Bermude	train	17/07/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	ROUVRES_EN_PLAINE	2012	11/10/2011	Bermude	eval	22/03/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	ROUVRES_EN_PLAINE	2012	11/10/2011	Bermude	eval	16/04/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	ROUVRES_EN_PLAINE	2012	11/10/2011	Bermude	eval	09/05/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	ROUVRES_EN_PLAINE	2012	11/10/2011	Bermude	eval	25/05/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	ROUVRES_EN_PLAINE	2012	11/10/2011	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	ROUVRES_EN_PLAINE	2013	18/10/2012	Bermude	eval	08/04/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	ROUVRES_EN_PLAINE	2013	18/10/2012	Bermude	eval	26/04/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	ROUVRES_EN_PLAINE	2013	18/10/2012	Bermude	eval	16/05/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	ROUVRES_EN_PLAINE	2013	18/10/2012	Bermude	eval	10/06/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	ROUVRES_EN_PLAINE	2013	18/10/2012	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	Cesseville	2011	13/10/2010	Bermude	train	01/08/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	IVILLE	2012	12/10/2011	Bermude	eval	21/03/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	IVILLE	2012	12/10/2011	Bermude	eval	17/04/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	IVILLE	2012	12/10/2011	Bermude	eval	11/05/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	IVILLE	2012	12/10/2011	Bermude	eval	04/06/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	IVILLE	2012	12/10/2011	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	VILLETTES	2013	24/10/2012	Bermude	eval	16/04/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	VILLETTES	2013	24/10/2012	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Bermude	train	10/03/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Bermude	train	07/04/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Bermude	train	07/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Bermude	train	03/06/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Bermude	train	07/08/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	CRESTOT	2015	14/10/2014	Bermude	train	23/03/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	CRESTOT	2015	14/10/2014	Bermude	train	20/04/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	CRESTOT	2015	14/10/2014	Bermude	train	06/05/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	CRESTOT	2015	14/10/2014	Bermude	train	08/06/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	CRESTOT	2015	14/10/2014	Bermude	train	05/08/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	OUZOUER_LE_MARCHE	2012	21/10/2011	Bermude	eval	23/03/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	OUZOUER_LE_MARCHE	2012	21/10/2011	Bermude	eval	16/04/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	OUZOUER_LE_MARCHE	2012	21/10/2011	Bermude	eval	09/05/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	OUZOUER_LE_MARCHE	2012	21/10/2011	Bermude	eval	30/05/2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	OUZOUER_LE_MARCHE	2012	21/10/2011	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	OUZOUER_LE_MARCHE	2013	30/10/2012	Bermude	eval	17/04/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	OUZOUER_LE_MARCHE	2013	30/10/2012	Bermude	eval	06/05/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	OUZOUER_LE_MARCHE	2013	30/10/2012	Bermude	eval	17/05/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	OUZOUER_LE_MARCHE	2013	30/10/2012	Bermude	eval	10/06/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	OUZOUER_LE_MARCHE	2013	30/10/2012	Bermude	eval	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	BIGNAN	2010	30/10/2009	Bermude	train	27/07/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	BIGNAN	2011	28/10/2010	Bermude	train	28/07/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	BIGNAN	2014	21/10/2013	Bermude	train	21/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	BIGNAN	2014	21/10/2013	Bermude	train	23/07/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	BIGNAN	2015	27/10/2014	Bermude	train	16/03/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	BIGNAN	2015	27/10/2014	Bermude	train	15/04/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	BIGNAN	2015	27/10/2014	Bermude	train	05/05/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	BIGNAN	2015	27/10/2014	Bermude	train	28/05/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	BIGNAN	2015	27/10/2014	Bermude	train	23/07/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	BOIGNEVILLE	2014	21/10/2013	Bermude	train	18/03/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	BOIGNEVILLE	2014	21/10/2013	Bermude	train	07/04/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	BOIGNEVILLE	2014	21/10/2013	Bermude	train	25/04/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	BOIGNEVILLE	2014	21/10/2013	Bermude	train	19/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	BOIGNEVILLE	2014	21/10/2013	Bermude	train	17/07/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	BOIGNEVILLE	2015	23/10/2014	Bermude	train	27/03/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	BOIGNEVILLE	2015	23/10/2014	Bermude	train	20/04/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	BOIGNEVILLE	2015	23/10/2014	Bermude	train	06/05/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	BOIGNEVILLE	2015	23/10/2014	Bermude	train	27/05/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	BOIGNEVILLE	2015	23/10/2014	Bermude	train	09/07/2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	BOIGNEVILLE	2016	21/10/2015	Bermude	train	24/03/2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	BOIGNEVILLE	2016	21/10/2015	Bermude	train	18/04/2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	BOIGNEVILLE	2016	21/10/2015	Bermude	train	12/05/2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	BOIGNEVILLE	2016	21/10/2015	Bermude	train	03/06/2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	BOIGNEVILLE	2016	21/10/2015	Bermude	train	25/07/2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
