Number Site HarvestYear SowingDate Variety useCat Date Date_BBCH10 Date_BBCH30 Date_BBCH55 Date_BBCH90 Biomass EarsPerSqM Grain_Number ProteinContentGrain N_in_biomassHarvest Grain_Yield
1 Site_1 2012 10/11/2011 A eval 11/04/2012 NA NA NA NA NA NA NA NA NA NA
1 Site_1 2012 10/11/2011 A eval 13/06/2012 NA NA NA NA NA NA NA NA NA NA
1 Site_1 2012 10/11/2011 A eval 31/12/2012 NA NA NA NA NA NA NA NA NA NA
3 Site_1 2013 23/10/2012 A eval 17/04/2013 NA NA NA NA NA NA NA NA NA NA
3 Site_1 2013 23/10/2012 A eval 06/05/2013 NA NA NA NA NA NA NA NA NA NA
3 Site_1 2013 23/10/2012 A eval 16/05/2013 NA NA NA NA NA NA NA NA NA NA
3 Site_1 2013 23/10/2012 A eval 12/06/2013 NA NA NA NA NA NA NA NA NA NA
3 Site_1 2013 23/10/2012 A eval 31/12/2013 NA NA NA NA NA NA NA NA NA NA
11 Site_2 2010 08/10/2009 A train 31/12/2010 NA NA NA NA NA NA NA NA NA NA
13 Site_2 2011 07/10/2010 A train 01/04/2011 NA NA NA NA NA NA NA NA NA NA
13 Site_2 2011 07/10/2010 A train 20/04/2011 NA NA NA NA NA NA NA NA NA NA
13 Site_2 2011 07/10/2010 A train 29/04/2011 NA NA NA NA NA NA NA NA NA NA
13 Site_2 2011 07/10/2010 A train 19/05/2011 NA NA NA NA NA NA NA NA NA NA
13 Site_2 2011 07/10/2010 A train 31/12/2011 NA NA NA NA NA NA NA NA NA NA
17 Site_2 2014 07/10/2013 A train 13/03/2014 NA NA NA NA NA NA NA NA NA NA
17 Site_2 2014 07/10/2013 A train 18/04/2014 NA NA NA NA NA NA NA NA NA NA
17 Site_2 2014 07/10/2013 A train 20/05/2014 NA NA NA NA NA NA NA NA NA NA
17 Site_2 2014 07/10/2013 A train 31/12/2014 NA NA NA NA NA NA NA NA NA NA
19 Site_2 2015 15/10/2014 A train 25/03/2015 NA NA NA NA NA NA NA NA NA NA
19 Site_2 2015 15/10/2014 A train 20/04/2015 NA NA NA NA NA NA NA NA NA NA
19 Site_2 2015 15/10/2014 A train 26/05/2015 NA NA NA NA NA NA NA NA NA NA
19 Site_2 2015 15/10/2014 A train 31/12/2015 NA NA NA NA NA NA NA NA NA NA
21 Site_3 2012 11/10/2011 A eval 22/03/2012 NA NA NA NA NA NA NA NA NA NA
21 Site_3 2012 11/10/2011 A eval 16/04/2012 NA NA NA NA NA NA NA NA NA NA
21 Site_3 2012 11/10/2011 A eval 09/05/2012 NA NA NA NA NA NA NA NA NA NA
21 Site_3 2012 11/10/2011 A eval 25/05/2012 NA NA NA NA NA NA NA NA NA NA
21 Site_3 2012 11/10/2011 A eval 31/12/2012 NA NA NA NA NA NA NA NA NA NA
23 Site_3 2013 18/10/2012 A eval 08/04/2013 NA NA NA NA NA NA NA NA NA NA
23 Site_3 2013 18/10/2012 A eval 26/04/2013 NA NA NA NA NA NA NA NA NA NA
23 Site_3 2013 18/10/2012 A eval 16/05/2013 NA NA NA NA NA NA NA NA NA NA
23 Site_3 2013 18/10/2012 A eval 10/06/2013 NA NA NA NA NA NA NA NA NA NA
23 Site_3 2013 18/10/2012 A eval 31/12/2013 NA NA NA NA NA NA NA NA NA NA
29 Site_4 2011 13/10/2010 A train 31/12/2011 NA NA NA NA NA NA NA NA NA NA
31 Site_5 2012 12/10/2011 A eval 20/03/2012 NA NA NA NA NA NA NA NA NA NA
31 Site_5 2012 12/10/2011 A eval 11/04/2012 NA NA NA NA NA NA NA NA NA NA
31 Site_5 2012 12/10/2011 A eval 09/05/2012 NA NA NA NA NA NA NA NA NA NA
31 Site_5 2012 12/10/2011 A eval 30/05/2012 NA NA NA NA NA NA NA NA NA NA
31 Site_5 2012 12/10/2011 A eval 31/12/2012 NA NA NA NA NA NA NA NA NA NA
33 Site_6 2013 24/10/2012 A eval 18/04/2013 NA NA NA NA NA NA NA NA NA NA
33 Site_6 2013 24/10/2012 A eval 31/12/2013 NA NA NA NA NA NA NA NA NA NA
35 Site_7 2014 15/10/2013 A train 10/03/2014 NA NA NA NA NA NA NA NA NA NA
35 Site_7 2014 15/10/2013 A train 07/04/2014 NA NA NA NA NA NA NA NA NA NA
35 Site_7 2014 15/10/2013 A train 07/05/2014 NA NA NA NA NA NA NA NA NA NA
35 Site_7 2014 15/10/2013 A train 03/06/2014 NA NA NA NA NA NA NA NA NA NA
35 Site_7 2014 15/10/2013 A train 31/12/2014 NA NA NA NA NA NA NA NA NA NA
