Number	Site	HarvestYear	SowingDate	Variety	Date	Date_BBCH1	Date_BBCH2	Date_BBCH3	Date_BBCH4	Date_BBCH5	Date_BBCH6	Date_BBCH7	Date_BBCH8	Date_BBCH9	Date_BBCH10	Date_BBCH11	Date_BBCH12	Date_BBCH13	Date_BBCH14	Date_BBCH15	Date_BBCH16	Date_BBCH17	Date_BBCH18	Date_BBCH19	Date_BBCH20	Date_BBCH21	Date_BBCH22	Date_BBCH23	Date_BBCH24	Date_BBCH25	Date_BBCH26	Date_BBCH27	Date_BBCH28	Date_BBCH29	Date_BBCH30	Date_BBCH31	Date_BBCH32	Date_BBCH33	Date_BBCH34	Date_BBCH35	Date_BBCH36	Date_BBCH37	Date_BBCH38	Date_BBCH39	Date_BBCH40	Date_BBCH41	Date_BBCH42	Date_BBCH43	Date_BBCH44	Date_BBCH45	Date_BBCH46	Date_BBCH47	Date_BBCH48	Date_BBCH49	Date_BBCH50	Date_BBCH51	Date_BBCH52	Date_BBCH53	Date_BBCH54	Date_BBCH55	Date_BBCH56	Date_BBCH57	Date_BBCH58	Date_BBCH59	Date_BBCH60	Date_BBCH61	Date_BBCH62	Date_BBCH63	Date_BBCH64	Date_BBCH65	Date_BBCH66	Date_BBCH67	Date_BBCH68	Date_BBCH69	Date_BBCH70	Date_BBCH71	Date_BBCH72	Date_BBCH73	Date_BBCH74	Date_BBCH75	Date_BBCH76	Date_BBCH77	Date_BBCH78	Date_BBCH79	Date_BBCH80	Date_BBCH81	Date_BBCH82	Date_BBCH83	Date_BBCH84	Date_BBCH85	Date_BBCH86	Date_BBCH87	Date_BBCH88	Date_BBCH89	Date_BBCH90	Date_BBCH91	Date_BBCH92	Date_BBCH93	Date_BBCH94	Date_BBCH95	Date_BBCH96	Date_BBCH97	Date_BBCH98	Date_BBCH99	Date_BBCH100	HarvestDate	Grain_Yield	Biomass	Grain_Number
13	Eradu	2010	14/05/2010	Janz	09/11/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16/07/2010	18/07/2010	19/07/2010	21/07/2010	23/07/2010	24/07/2010	26/07/2010	28/07/2010	29/07/2010	31/07/2010	02/08/2010	03/08/2010	04/08/2010	05/08/2010	06/08/2010	06/08/2010	07/08/2010	08/08/2010	09/08/2010	10/08/2010	10/08/2010	11/08/2010	12/08/2010	13/08/2010	14/08/2010	15/08/2010	15/08/2010	16/08/2010	17/08/2010	18/08/2010	19/08/2010	21/08/2010	22/08/2010	23/08/2010	25/08/2010	26/08/2010	28/08/2010	29/08/2010	30/08/2010	01/09/2010	03/09/2010	05/09/2010	07/09/2010	09/09/2010	11/09/2010	13/09/2010	16/09/2010	18/09/2010	21/09/2010	22/09/2010	24/09/2010	25/09/2010	27/09/2010	29/09/2010	30/09/2010	02/10/2010	03/10/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	09/11/2010	2216.5	5688.3	6541
14	Eradu	2010	27/05/2010	Janz	09/11/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	03/08/2010	05/08/2010	06/08/2010	07/08/2010	09/08/2010	11/08/2010	12/08/2010	13/08/2010	15/08/2010	17/08/2010	18/08/2010	19/08/2010	20/08/2010	20/08/2010	21/08/2010	22/08/2010	23/08/2010	24/08/2010	24/08/2010	25/08/2010	26/08/2010	27/08/2010	28/08/2010	28/08/2010	29/08/2010	30/08/2010	31/08/2010	01/09/2010	01/09/2010	02/09/2010	03/09/2010	04/09/2010	05/09/2010	06/09/2010	08/09/2010	09/09/2010	10/09/2010	11/09/2010	12/09/2010	13/09/2010	16/09/2010	19/09/2010	22/09/2010	23/09/2010	25/09/2010	26/09/2010	27/09/2010	29/09/2010	30/09/2010	02/10/2010	03/10/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	09/11/2010	2250	5525.1	7292
15	Eradu	2010	22/06/2010	Janz	09/11/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18/08/2010	19/08/2010	19/08/2010	20/08/2010	21/08/2010	21/08/2010	22/08/2010	23/08/2010	23/08/2010	24/08/2010	25/08/2010	25/08/2010	26/08/2010	27/08/2010	27/08/2010	28/08/2010	29/08/2010	30/08/2010	30/08/2010	31/08/2010	01/09/2010	01/09/2010	02/09/2010	04/09/2010	07/09/2010	10/09/2010	13/09/2010	14/09/2010	14/09/2010	15/09/2010	16/09/2010	16/09/2010	17/09/2010	17/09/2010	18/09/2010	19/09/2010	19/09/2010	20/09/2010	21/09/2010	21/09/2010	22/09/2010	22/09/2010	23/09/2010	23/09/2010	24/09/2010	24/09/2010	25/09/2010	25/09/2010	26/09/2010	27/09/2010	27/09/2010	28/09/2010	28/09/2010	29/09/2010	29/09/2010	30/09/2010	30/09/2010	01/10/2010	01/10/2010	02/10/2010	02/10/2010	03/10/2010	03/10/2010	04/10/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	09/11/2010	1258.5	3543.5	4919
16	Eradu	2011	29/04/2011	Janz	14/11/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	07/06/2011	10/06/2011	14/06/2011	18/06/2011	21/06/2011	24/06/2011	28/06/2011	02/07/2011	05/07/2011	08/07/2011	12/07/2011	13/07/2011	14/07/2011	15/07/2011	16/07/2011	18/07/2011	19/07/2011	20/07/2011	21/07/2011	22/07/2011	23/07/2011	24/07/2011	25/07/2011	26/07/2011	26/07/2011	27/07/2011	28/07/2011	29/07/2011	30/07/2011	31/07/2011	01/08/2011	02/08/2011	03/08/2011	03/08/2011	04/08/2011	05/08/2011	06/08/2011	07/08/2011	07/08/2011	08/08/2011	08/08/2011	09/08/2011	09/08/2011	10/08/2011	10/08/2011	10/08/2011	11/08/2011	11/08/2011	12/08/2011	19/08/2011	21/08/2011	23/08/2011	25/08/2011	27/08/2011	29/08/2011	31/08/2011	02/09/2011	05/09/2011	07/09/2011	10/09/2011	13/09/2011	16/09/2011	19/09/2011	22/09/2011	24/09/2011	27/09/2011	30/09/2011	08/10/2011	15/10/2011	22/10/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14/11/2011	2061.4	4851.5	7938
17	Eradu	2011	24/05/2011	Janz	14/11/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28/06/2011	01/07/2011	04/07/2011	06/07/2011	09/07/2011	12/07/2011	15/07/2011	18/07/2011	21/07/2011	23/07/2011	25/07/2011	28/07/2011	30/07/2011	01/08/2011	04/08/2011	06/08/2011	08/08/2011	08/08/2011	10/08/2011	10/08/2011	12/08/2011	12/08/2011	13/08/2011	13/08/2011	14/08/2011	15/08/2011	15/08/2011	16/08/2011	16/08/2011	17/08/2011	18/08/2011	18/08/2011	19/08/2011	19/08/2011	20/08/2011	21/08/2011	21/08/2011	22/08/2011	23/08/2011	23/08/2011	24/08/2011	25/08/2011	25/08/2011	26/08/2011	27/08/2011	27/08/2011	28/08/2011	29/08/2011	03/09/2011	08/09/2011	09/09/2011	11/09/2011	12/09/2011	14/09/2011	17/09/2011	20/09/2011	23/09/2011	26/09/2011	29/09/2011	01/10/2011	03/10/2011	06/10/2011	08/10/2011	11/10/2011	13/10/2011	17/10/2011	23/10/2011	28/10/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14/11/2011	2059.8	4527.3	8575
18	Eradu	2011	23/06/2011	Janz	14/11/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22/07/2011	23/07/2011	25/07/2011	26/07/2011	27/07/2011	28/07/2011	30/07/2011	31/07/2011	01/08/2011	02/08/2011	04/08/2011	05/08/2011	06/08/2011	08/08/2011	09/08/2011	10/08/2011	11/08/2011	13/08/2011	15/08/2011	17/08/2011	18/08/2011	20/08/2011	22/08/2011	24/08/2011	25/08/2011	26/08/2011	28/08/2011	29/08/2011	30/08/2011	31/08/2011	01/09/2011	02/09/2011	03/09/2011	05/09/2011	06/09/2011	07/09/2011	08/09/2011	09/09/2011	09/09/2011	10/09/2011	11/09/2011	12/09/2011	13/09/2011	13/09/2011	14/09/2011	15/09/2011	16/09/2011	17/09/2011	18/09/2011	19/09/2011	20/09/2011	21/09/2011	22/09/2011	23/09/2011	24/09/2011	24/09/2011	25/09/2011	26/09/2011	27/09/2011	28/09/2011	29/09/2011	30/09/2011	02/10/2011	03/10/2011	05/10/2011	07/10/2011	09/10/2011	11/10/2011	12/10/2011	14/10/2011	16/10/2011	19/10/2011	21/10/2011	24/10/2011	26/10/2011	29/10/2011	31/10/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14/11/2011	851.5	1850	2555
22	LakeBolac	2010	03/05/2010	Janz	29/01/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28/09/2010	02/10/2010	05/10/2010	09/10/2010	12/10/2010	16/10/2010	20/10/2010	23/10/2010	27/10/2010	28/10/2010	29/10/2010	30/10/2010	31/10/2010	01/11/2010	02/11/2010	03/11/2010	06/11/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29/01/2011	1479.4	8784.5	10968
23	LakeBolac	2010	19/05/2010	Janz	29/01/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20/09/2010	21/09/2010	22/09/2010	24/09/2010	25/09/2010	26/09/2010	27/09/2010	29/09/2010	30/09/2010	01/10/2010	02/10/2010	03/10/2010	05/10/2010	06/10/2010	07/10/2010	08/10/2010	10/10/2010	11/10/2010	12/10/2010	13/10/2010	14/10/2010	16/10/2010	17/10/2010	18/10/2010	19/10/2010	21/10/2010	22/10/2010	23/10/2010	24/10/2010	25/10/2010	27/10/2010	28/10/2010	29/10/2010	30/10/2010	31/10/2010	01/11/2010	02/11/2010	03/11/2010	04/11/2010	07/11/2010	09/11/2010	11/11/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29/01/2011	2050.3	10982.2	16583
24	LakeBolac	2010	08/07/2010	Janz	29/01/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28/09/2010	30/09/2010	01/10/2010	03/10/2010	05/10/2010	06/10/2010	08/10/2010	09/10/2010	11/10/2010	13/10/2010	14/10/2010	16/10/2010	18/10/2010	19/10/2010	21/10/2010	23/10/2010	24/10/2010	26/10/2010	27/10/2010	28/10/2010	29/10/2010	29/10/2010	30/10/2010	31/10/2010	31/10/2010	01/11/2010	02/11/2010	02/11/2010	03/11/2010	04/11/2010	05/11/2010	06/11/2010	07/11/2010	08/11/2010	09/11/2010	10/11/2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29/01/2011	1700.4	8965.6	12342
25	LakeBolac	2011	09/05/2011	Janz	11/12/2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21/07/2011	24/07/2011	26/07/2011	29/07/2011	31/07/2011	03/08/2011	05/08/2011	08/08/2011	10/08/2011	13/08/2011	15/08/2011	18/08/2011	20/08/2011	23/08/2011	31/08/2011	09/09/2011	10/09/2011	11/09/2011	12/09/2011	12/09/2011	13/09/2011	14/09/2011	15/09/2011	16/09/2011	17/09/2011	17/09/2011	18/09/2011	19/09/2011	20/09/2011	21/09/2011	22/09/2011	23/09/2011	25/09/2011	28/09/2011	01/10/2011	04/10/2011	06/10/2011	08/10/2011	10/10/2011	12/10/2011	13/10/2011	14/10/2011	15/10/2011	16/10/2011	17/10/2011	17/10/2011	18/10/2011	19/10/2011	20/10/2011	21/10/2011	21/10/2011	22/10/2011	23/10/2011	24/10/2011	25/10/2011	25/10/2011	26/10/2011	27/10/2011	30/10/2011	01/11/2011	04/11/2011	06/11/2011	09/11/2011	20/11/2011	23/11/2011	27/11/2011	30/11/2011	03/12/2011	06/12/2011	07/12/2011	09/12/2011	11/12/2011	12/12/2011	14/12/2011	15/12/2011	NA	NA	11/12/2011	3788.3	7535	9200
